seller_ID;seller_name;type;member_since;country;address
1;PartyNator;Private;2012;Spain;
2;CValle;Private;2020;Spain;
3;MarcoSanzin;Private;2016;Italy;
4;MagicBivio;Private;2021;Italy;
5;Tezzeret84;Private;2009;Spain;
6;Lordburka;Private;2015;Netherlands;
7;Lanowar69;Private;2019;Italy;
8;Topdeckskills;Professional;2012;Ireland;13 O'Brien Park, V14 AC65 Shannon, Co. Clare, Ireland
9;magicpartcard;Private;2017;Netherlands;
10;stanislaf;Private;2013;Belgium;
11;Thrymiir;Private;2020;France;
12;daidojilaurent;Private;2013;France;
13;sovmar;Private;2013;Portugal;
14;Ceribe;Private;2015;Poland;
15;Felixuco;Private;2015;Spain;
16;Richaardi;Private;2015;Portugal;
17;diddos;Private;2012;Belgium;
18;dakkon87;Private;2011;Italy;
19;Mirikov;Private;2021;Germany;
20;BrandyBrand;Professional;2018;Germany;Auf dem Halmburger 6, 35043 Marburg, Germany
21;CommanderStaples;Private;2019;Finland;
22;BechaMecha;Private;2015;Italy;
23;MadridMagic;Private;2016;Spain;
24;DombekTorun;Private;2016;Poland;
25;BaukeS;Private;2018;Netherlands;
26;plkfd;Private;2018;France;
27;quasimoto;Private;2015;Germany;
28;Zoocomics;Professional;2018;Norway;Anders baars veg 25b, 3737 Skien, Norway
29;MTG-Prime;Professional;2018;France;34 rue Combanaire, 36000 Ch‚teauroux, France
30;FrankvdWaals;Private;2015;Netherlands;
31;GunCha;Private;2018;Latvia;
32;OliverFarkash;Private;2020;Netherlands;
33;hobbitfred;Private;2015;France;
34;Tyron-Heartz;Private;2016;Portugal;
35;cultus;Private;2016;Spain;
36;bendu71;Private;2016;France;
37;Kungfupeet;Private;2019;Netherlands;
38;TheCoonRises;Powerseller;2016;Germany;Neue Straﬂe 46, 89073 Ulm, Germany
39;kARNN;Private;2015;France;
40;RedDragonMagic;Private;2012;Spain;
41;fuxxi;Private;2013;Germany;
42;maglaf88;Private;2014;France;
43;antonio-muenster;Private;2013;Germany;
44;Dinis;Private;2014;Portugal;
45;Akroma44;Private;2011;Germany;
46;38Shizo;Private;2019;Germany;
47;Matze-KungFury;Private;2019;Germany;
48;pantufas;Private;2013;Portugal;
49;Loui0;Private;2018;Germany;
50;tennlos;Professional;2020;Poland;Rakowicka 20b/57, 31-510 KrakÛw, Poland
51;replicart71;Powerseller;2017;France;9 jardin de Florence , 01340 Montrevel en bresse, France
52;WhiteFoxThree;Private;2017;Netherlands;
53;Jean-Claire;Private;2017;France;
54;NuggetGaming;Private;2020;United Kingdom;
55;ctouya;Private;2014;France;
56;Giftsungiven;Private;2013;Portugal;
57;Emisary121;Private;2019;Netherlands;
58;Espell;Private;2015;Italy;
59;ruben52;Private;2011;Netherlands;
60;procards;Professional;2015;Germany;Baiersdorfer Straﬂe 6a, 91341 Rˆttenbach , Germany
61;ludovic1968;Private;2012;France;
62;valis;Private;2011;Finland;
63;NoDrummer;Private;2014;Germany;
64;Styliann;Private;2011;France;
65;yannloison13;Private;2019;France;
66;masistuta;Private;2012;Netherlands;
67;Trade-Secrets;Private;2014;Netherlands;
68;phagma;Private;2014;France;
69;Gautch;Private;2017;France;
70;txbcards;Professional;2020;Austria;Ketteringstraﬂe 10, 4400 Steyr, Austria
71;Knightnight;Private;2019;Netherlands;
72;karasofr;Private;2019;France;
73;Pa-t-ch;Private;2016;Italy;
74;rogiol;Private;2018;Czech Republic;
75;danieldisco;Private;2020;Belgium;
76;Admiral-Haze;Private;2012;Germany;
77;aleeuwen1;Private;2019;Netherlands;
78;Geek-Corner;Professional;2017;United Kingdom;Regency Mall West 15, TS18 1EF Stockton On Tees, United Kingdom
79;Stefouch;Private;2013;Belgium;
